detail_id,detail_title
DAR-016-0101,[데이터구축및이관] 지속적 모니터 데이터 정합성 점검 체계 수립
DAR-016-0201,[데이터구축및이관] 백업 기능 구현할 있도록 지원 체계 구축
DAR-016-0301,[데이터구축및이관] 대량 데이터 업로드 복구 관리체계 수립
DAR-016-0401,[데이터구축및이관] 데이터 백업 복구 보안사 수립
DAR-017-0101,[데이터구축및이관] 기록관리정보 6개 영역 37개 구성
ECR-001-0101,[PMO/QC] 공인 제출 신규 장비도입 도입
ECR-002-0101,[PMO/QC] 요건 소프트웨어 설치 커스터마이징 구축
ECR-003-0101,[PMO/QC] 차세대 요건 소프트웨어 설치 구축
ECR-004-0101,[PMO/QC] OASYS 요건 소프트웨어 설치 구축
ECR-005-0101,[PMO/QC] DB 서버 설치 데이터베이스 운영 체계 수립
ECR-006-0101,[PMO/QC] Directory 정보 계정 권한 관리체계 수립
ECR-007-0101,[PMO/QC] OS 요건 HW 설치 구성
ECR-008-0101,[PMO/QC] RAW CLOB BLOB 제약조건 적용 방안 수립
ECR-009-0101,[PMO/QC] 검색엔진 인사시스템 SSO 법령정보 연동 기능 제공
ECR-010-0101,[PMO/QC] 도입 OS 요건 HW 구성
ECR-011-0101,[전자결재/메신저] 사무관리규정 인증제품 행정업무 그룹웨어 운영 체계 수립
ECR-012-0101,[PMO/QC] 100명 서버실 여건 작업 구축
INR-001-0101,[PMO/QC] 온라인 서식 정보 인터페이스 기능 제공
INR-001-0102,[PMO/QC] 모양이나 배치 이해 쉽게 구성
INR-001-0201,[PMO/QC] 시스템 메뉴 접근 인터페이스 제시
INR-001-0202,[PMO/QC] 직관적 인터페이스 제공 화면 구성
INR-001-0203,[PMO/QC] 단위 사이트별 바로가기 인터페이스 기능 제공
INR-002-0101,[PMO/QC] 이용할 있도록 도움말 체계적 구성
INR-002-0102,[PMO/QC] 지속적 현행화할 온라인 절차서 제시
INR-002-0201,[PMO/QC] 쉽게 파악할 Site Map 구성
INR-002-0202,[PMO/QC] 클릭하면 연결 있도록 절차서 기능 구현
INR-003-0101,[UI/UX] 고정 팝업 편의성 관점 구성
INR-004-0101,[UI/UX] 1080해상 권장기준 27인치 까지 지원 체계 구축
INR-005-0101,[UI/UX] 수평스크롤 사용하지 설계 출력용 조회 기능 제공
INR-006-0101,[PMO/QC] 저장 수행활동 메시지 제공하되 표준 수립
INR-006-0102,[PMO/QC] 오류 발생 알람 메시지 기능 제공
INR-006-0103,[PMO/QC] 정보 게시할 메시지 결과 기능 제공
INR-007-0101,[UI/UX] 시스템 통일성 부여 UI 구성
INR-008-0101,[PMO/QC] 오작동 목표시스템 설계 멀티브라우저 구축
INR-008-0201,[PMO/QC] 멀티플랫폼 멀티브라우저 지원 편의성 수립
INR-009-0101,[PMO/QC] 어플리케이션 실행시간 데이터연계 인터페이스 설정
INR-010-0101,[PMO/QC] 시스템 데이터 송수신 모듈 연계 체계 구축
INR-011-0101,[PMO/QC] File2File HTTP SOAP 프로토콜 변환 체계 구축
INR-012-0101,[데이터구축및이관] 검증 행정정보 연계데이터 정합성 연계 체계 구축
INR-013-0101,[PMO/QC] 기능수행 정확도 검증 연계방안 운영 체계 수립
INR-014-0101,[PMO/QC] 발생 오류메시지 기능 제공
PER-001-0101,[공통기반] 관리자 관점 구분 성능 운용 체계 수립
